6
240.584288932
2772.7465703589996
1 1 2 0.0 18.038946763
2 2 2 0.0 72.084396983
3 2 2 72.084396983 126.319392107
4 1 2 101.13647368699999 168.68055519
5 1 2 18.038946763 101.13647368699999
6 2 2 168.68055519 240.584288932

17
251.02656629999998
4481.010399043001
1 1 2 0.0 12.044898127
2 2 2 0.0 64.025505049
3 3 2 0.0 40.458047547
4 1 2 12.044898127 91.72072962899999
5 3 2 40.458047547 102.541127202
6 2 2 64.025505049 73.974906492
7 2 2 73.974906492 161.406120698
8 1 2 91.72072962899999 104.50074431099999
9 3 2 102.541127202 131.280400646
10 1 2 104.50074431099999 107.148935032
11 1 2 107.148935032 182.66413715
12 3 2 131.280400646 209.259372231
13 2 2 161.406120698 213.34531018799998
14 1 2 182.66413715 197.219875154
15 1 2 197.219875154 251.02656629999998
16 3 2 209.259372231 223.146225981
17 2 2 213.34531018799998 241.43911226199998
